1887, 1,187,-9,210,37
1887, 1,184,27,194,30
1887, 1,838,-6,201,150
1887, 1,550,14,195,78
1887, 1,90,27,178,13
1888, 1,48,-18,166,12
1888, 1,25,17,153,4
1888, 1,643,-9,189,118
1888, 1,5,-23,173,1
1888, 1,186,36,170,33
1888, 1,20,11,128,2
1888, 1,39,-18,112,4
1888, 1,88,-26,108,15
1887, 2,210,-9,210,38
1887, 2,216,26,192,53
1887, 2,1204,-6,202,196
1887, 2,878,14,196,133
1887, 2,283,27,178,45
1888, 2,37,-19,166,9
1888, 2,14,18,154,3
1888, 2,456,-9,190,60
1888, 2,149,35,170,29
1888, 2,37,11,128,6
1888, 2,95,-18,112,19
1888, 2,82,-26,108,18
1888, 2,86,-14,96,16
1888, 2,276,-14,88,23
1887, 3,205,-9,210,34
1887, 3,238,27,192,41
1887, 3,1024,-6,201,184
1887, 3,834,14,195,143
1887, 3,311,28,179,60
1888, 3,22,-19,166,4
1888, 3,23,18,152,3
1888, 3,377,-9,189,50
1888, 3,122,35,171,23
1888, 3,66,11,128,9
1888, 3,66,-18,112,11
1888, 3,51,-26,107,11
1888, 3,144,-14,96,17
1888, 3,252,-14,87,47
1889, 3,510,-7,85,51
1889, 3,282,18,76,33
1889, 3,37,-9,75,0
1887, 4,217,-10,210,40
1887, 4,137,26,194,22
1887, 4,983,-6,202,156
1887, 4,709,14,196,130
1887, 4,270,28,178,51
1888, 4,20,-19,166,11
1888, 4,7,18,152,0
1888, 4,236,-9,191,46
1888, 4,97,35,172,19
1888, 4,82,12,129,22
1888, 4,37,-18,112,9
1888, 4,18,-26,106,7
1888, 4,166,-14,98,29
1888, 4,252,-14,87,36
1889, 4,342,-8,84,61
1889, 4,384,18,75,58
1889, 4,69,-8,74,14
1887, 5,228,-10,210,25
1887, 5,114,26,193,21
1887, 5,843,-6,201,131
1887, 5,584,14,195,83
1887, 5,215,28,177,42
1888, 5,11,-18,166,3
1888, 5,259,-10,192,32
1888, 5,118,35,171,21
1888, 5,89,12,128,18
1888, 5,13,-26,106,3
1888, 5,124,-14,99,21
1888, 5,261,-14,87,33
1889, 5,340,-8,85,73
1889, 5,352,18,74,70
1889, 5,86,-8,73,9
1889, 5,127,8,150,31
1887, 6,121,26,193,19
1887, 6,283,14,195,32
1887, 6,69,28,176,12
1888, 6,325,-10,193,45
1888, 6,61,35,170,15
1888, 6,27,12,127,4
1888, 6,9,-26,105,1
1888, 6,99,-14,100,15
1888, 6,302,-14,86,48
1889, 6,425,-8,86,64
1889, 6,267,18,74,43
1889, 6,52,-8,73,13
1889, 6,56,8,151,11
1889, 6,57,-8,164,13
1889, 6,50,9,96,9
1889, 6,196,19,38,22
1887, 7,28,29,175,3
1888, 7,52,35,169,9
1888, 7,80,-14,100,16
1888, 7,380,-14,85,54
1889, 7,370,-8,86,51
1889, 7,239,19,73,45
1889, 7,25,-8,74,5
1889, 7,20,8,153,4
1889, 7,188,-8,164,24
1889, 7,6,9,97,1
1889, 7,766,22,32,83
1888, 8,46,35,167,9
1888, 8,95,-14,101,16
1888, 8,426,-14,85,61
1889, 8,264,-8,87,39
1889, 8,398,18,73,73
1889, 8,18,-8,73,3
1889, 8,17,8,154,2
1889, 8,232,-8,164,41
1889, 8,524,22,33,78
1889, 8,76,-9,16,11
1404, 8,9,12,133,1
1404, 8,13,11,16,0
1888, 9,76,-14,101,10
1888, 9,522,-15,86,78
1889, 9,290,-8,87,46
1889, 9,433,19,73,94
1889, 9,21,-7,73,4
1889, 9,46,9,97,11
1889, 9,553,21,34,75
1889, 9,105,-10,14,25
1889, 9,3,10,54,1
1889, 9,10,16,8,3
1888,10,59,-13,101,12
1888,10,528,-16,87,96
1889,10,625,-9,88,75
1889,10,339,19,73,67
1889,10,7,-7,74,1
1889,10,39,9,97,18
1889,10,347,21,35,73
1889,10,96,-10,14,38
1889,10,57,10,55,12
1889,10,13,16,9,2
1890,10,4,-22,25,2
1890,10,25,12,8,8
1890,10,17,-25,7,8
1890,10,9,-10,1,2
1890,10,196,-34,348,24
1890,10,133,-30,346,0
1890,10,113,14,343,22
1888,11,73,-13,102,14
