6489, 1,94,-17,126,16
6490, 1,212,-14,27,29
6491, 1,638,12,0,64
6489, 2,89,-16,125,15
6490, 2,610,-15,26,98
6491, 2,649,11,0,83
6492, 2,63,8,23,14
6490, 3,1252,-16,26,194
6491, 3,597,11,0,106
6492, 3,197,8,23,32
6490, 4,1421,-16,24,228
6491, 4,622,12,0,167
6492, 4,278,8,24,54
6493, 4,8,-10,34,2
6494, 4,39,-7,344,15
6490, 5,1352,-16,24,175
6491, 5,705,12,0,117
6492, 5,402,8,25,54
6493, 5,20,-10,35,2
6494, 5,251,-7,346,48
6490, 6,1410,-16,25,111
6491, 6,633,12,360,106
6492, 6,300,8,25,36
6494, 6,395,-7,347,65
6490, 7,1593,-15,25,138
6491, 7,653,12,360,109
6492, 7,365,8,25,46
6494, 7,461,-7,347,86
6490, 8,1597,-15,26,255
6491, 8,630,12,0,130
6492, 8,477,7,25,75
6493, 8,16,-8,36,0
6494, 8,661,-7,347,120
6496, 8,9,-17,273,1
7340, 8,4,-8,19,0
6490, 9,1733,-15,25,220
6491, 9,694,12,0,108
6492, 9,624,8,25,92
6493, 9,39,-8,37,0
6494, 9,880,-6,347,163
6496, 9,7,-17,273,0
6490,10,1141,-14,26,90
6491,10,561,12,0,55
6492,10,589,7,24,49
6494,10,721,-7,348,104
6497,10,23,-16,9,0
6491,11,470,12,0,58
6492,11,207,7,22,0
6494,11,724,-6,348,109
6497,11,110,-17,8,0
6491,12,381,13,1,49
6494,12,602,-6,349,122
6491,13,361,12,360,0
6494,13,389,-7,350,101
6498,13,24,-10,317,2
6499,13,57,-5,269,8
6500,13,29,-15,208,4
6499,14,531,-5,270,81
6500,14,22,-15,208,0
6501,14,23,12,265,3
6502,14,11,14,251,0
6503,14,28,-15,186,1
6504,14,21,2,176,0
6498,15,11,-10,317,0
6499,15,793,-6,271,127
6500,15,60,-15,206,11
6501,15,11,12,266,1
6502,15,20,14,253,0
6503,15,101,-15,187,10
6504,15,47,3,179,6
6499,16,878,-6,272,104
6500,16,77,-15,208,24
6501,16,5,12,268,0
6502,16,9,13,253,1
6503,16,150,-15,185,33
6504,16,15,2,178,0
6499,17,982,-6,271,115
6500,17,71,-14,208,13
6503,17,131,-15,184,13
6505,17,65,17,176,1
6499,18,973,-6,272,204
6500,18,78,-15,208,17
6502,18,24,15,252,0
6503,18,213,-16,184,52
6504,18,24,3,177,0
6505,18,88,17,177,22
6499,19,1070,-6,270,151
6500,19,48,-15,209,17
6503,19,351,-15,185,85
6505,19,109,17,179,24
6500,20,59,-15,209,9
6503,20,450,-15,186,50
6505,20,122,18,179,18
6500,21,56,-15,209,8
6503,21,377,-15,186,68
6505,21,32,18,181,5
6506,21,16,-22,195,4
6500,22,26,-15,208,7
6503,22,220,-15,185,34
6505,22,24,18,179,2
6506,22,50,-21,195,13
6507,22,13,-17,137,0
6500,23,48,-14,209,10
6503,23,233,-15,184,44
6505,23,27,18,178,1
6506,23,69,-21,194,13
6507,23,42,-18,138,10
6508,23,19,9,71,0
6503,24,239,-15,184,20
6506,24,10,-21,192,0
6507,24,99,-18,138,20
6508,24,5,9,72,0
7340,24,7,6,151,0
6503,25,116,-14,186,0
6507,25,188,-18,139,27
6510,25,1287,6,33,182
6511,25,429,-14,31,72
6503,26,60,-17,182,0
6507,26,172,-18,139,33
6510,26,1267,6,33,165
6511,26,528,-14,30,99
6512,26,16,-13,72,0
6513,26,72,19,22,11
6507,27,92,-18,139,21
6510,27,1258,6,34,135
6511,27,495,-14,31,89
6512,27,46,-13,72,5
6513,27,46,19,21,11
6515,27,29,-9,114,3
6516,27,60,-16,16,0
7340,27,10,1,122,0
6507,28,22,-18,134,0
6510,28,1236,6,34,161
6511,28,481,-14,31,77
6512,28,41,-13,72,2
6513,28,30,18,21,7
6515,28,6,-8,116,0
6516,28,47,-16,15,5
6517,28,330,-6,355,74
7340,28,11,5,120,0
6510,29,1341,6,34,186
6511,29,450,-13,31,80
6512,29,8,-13,71,0
6513,29,37,18,21,8
6516,29,39,-16,15,8
6517,29,363,-6,355,68
6510,30,1633,6,35,191
6511,30,496,-14,31,69
6513,30,21,19,21,2
6516,30,25,-16,15,10
6517,30,352,-6,355,59
6518,30,110,13,359,21
6510,31,1699,6,36,214
6511,31,368,-14,31,55
6513,31,19,18,21,3
6516,31,16,-16,15,1
6517,31,336,-6,355,58
6518,31,222,13,0,36
